()||<BIN>22</BIN><BGM>BGM_Sneak</BGM>:...Клик. Запрос связи от Анжелии.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Вот почему они оставили M4A1 на месте, чтобы заманить Владыку на передовую. Это увеличило бы их шансы на обратный контроль над Владыкой в несколько раз. +Но тогда почему они пошли на риск и атаковали Команду AR, когда оставили её одну на месте?
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Это точно странно. Может, они решили, что есть какой-то плюс в том, чтобы M4 и Владыка установили связь. +Поэтому я и попросила AK-12 срочно отключить M4. Какой бы ни был их план, мы, по крайней мере, не дали им его осуществить.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:А потом они сделали вид, что их победили, а потом использовали свой центральный сервер, чтобы заманить Владыку, чтобы её можно было контролировать.
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Ты хочешь сказать... что Военные могут прямо сейчас проводить операцию по обратному контролю?! +Чёрт возьми! Надо было до этого додуматься! +Так значит, танки были всего лишь уловкой!
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Не паникуй... Взлом нейронного облака уровня Владыки потребует масштабной электронной битвы. Им может понадобиться время, чтобы подготовиться. +Они никогда не разрабатывали только одно решение для проблемы. Бронированные подразделения, скорее всего, являются запасным вариантом. +Анже, ты можешь нанести им урон на Уровне II?
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Ты хочешь, чтобы две или три Т-Куклы сделали что-то подобное? Какую же чушь ты несёшь?
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Я понимаю... Вычислительных мощностей нескольких Т-Кукол просто не хватит...+Но, по крайней мере, мы смогли получить образец военного вируса, но опять же, времени на его анализ не хватает...
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Ладно, ладно. Придумай что-нибудь. Я соберу всю информацию, которую смогу, и передам тебе. +У меня еще один вопрос. Если OGAS так важен, почему Военные оставили его там и так долго воевали с Грифоном, а только сейчас пришли за ним?
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:... +Сейчас...?
NPC-Persica(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Да, они дали Грифону возможность работать больше года и только сейчас решили его забрать...
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Может быть... может быть, потому что OGAS был слишком опасен. +В файле, который ты нашла на сервере театра, об этом упоминалось, верно? Это связано с Реликвиями...
NPC-Persica(0);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Так... почему сейчас?
NPC-Persica(0)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:ИИ Лико был супер умным и мог сам учиться... Это был его шедевр, хотя я не понимаю, какое отношение он имеет к OGAS. +Но, может, он уже полностью созрел, и кто-то из военных знает, что «она» созрела...
NPC-Persica(1)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Ох!
NPC-Persica(1);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:У тебя есть мысли?
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Кроме меня, только один человек знал методы Лико так же хорошо... +И он ненавидел Лико до глубины души, при этом будучи ненормально одержимым Реликвиями...
NPC-Persica(3);NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Эй, Персика, ты не знаешь...
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:Однажды в 90WISH был один парень... +Если бы он мог сделать что-нибудь, чтобы навредить Лико... +Тогда он бы точно это сделал!
NPC-Persica(3)<Speaker></Speaker>||<BIN>22</BIN>:...
NPC-Persica(3)<Speaker>Персика</Speaker>||<BIN>22</BIN><黑屏1>:Вильям... +Я должна была догадаться, что это ты... +А я-то думала... что мы больше никогда не встретимся!

