()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
NPC-Persica(2)<Speaker>Персика</Speaker><scan><通讯框>||<分支>2</分支>:<color=#00CCFF>В чужом доме — чужие обычаи. Но, пожалуй, для тебя я могу сделать исключение, Командир.</color>
NPC-Persica(2)<Speaker>Персика</Speaker><scan><通讯框>||<黑屏1>:<color=#00CCFF>Ладно, значит, решено. Как только всё уляжется, я приглашу тебя в свою лабораторию.</color>
()||<BGM>BGM_Empty</BGM><黑屏2><BIN>197</BIN>:
()||<SE1>MachineGunBurst</SE1>:...У входа в железнодорожный вокзал «Интерконтиненталь», Таллинн.
()||<BGM>BGM_Boss2</BGM><SE2>Gunfight</SE2>:Выстрел нарушает тишину, окутавшую руины. За ним следуют новые выстрелы, которые становятся всё чаще.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Уф, чуть не попали! RO, ты в порядке?
RO635(4)<Speaker>RO635</Speaker>||<SE1>Gunfight</SE1>:Я в порядке... Чёрт, мы ещё не наткнулись на Парадеус, но повсюду полно автоматических орудийных установок.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Наша цель — найти безопасный путь, по которому поезд сможет проследовать к базе в Таллинне. +Если мы оставим эти оборонительные сооружения в покое, поезд ни за что не сможет пройти через город без повреждений... Нам нужно уничтожить минометы вдоль железнодорожных путей.
RO635(0)<Speaker>RO635</Speaker>||:Это правда, но некоторые из этих турелей даже защищены силовыми полями — это очень неприятно.
RO635(5)<Speaker>RO635</Speaker>||:Нас тут просто разгромили. Неизвестно, сможем ли мы вообще безопасно отступить, не говоря уже о том, чтобы их уничтожить! Нам нужна поддержка от ГОгП!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Но отряд ГОгП всё ещё с Командиром, им понадобится некоторое время, чтобы догнать нас. +RO, у тебя же есть оборудование для радиоэлектронной борьбы? Разве ты не можешь взломать операционную систему этих минометов и взять их под свой контроль?
RO635(5)<Speaker>RO635</Speaker>||:Ты как будто говоришь, что это так просто... Проблема в том, что эти старые модели турелей переходят в полностью закрытый цикл, как только их переключают в автоматический режим. +Другими словами, я могу проникнуть внутрь, только подключившись напрямую к их панелям управления или соединившись с их узлом в интранете!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Что...? Почему это так сложно?!
RO635(0)<Speaker>RO635</Speaker>||:Чего ты ожидала? Эти системы — пережитки прошлого. Они просто выводят из себя...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Вообще-то, это не так уж и невозможно. Мы можем отвлечь внимание турелей и прикрыть RO, чтобы она смогла пробраться в их «слепое пятно» и взломать их оттуда... +...Что скажешь? План звучит правдоподобно, M4?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:(Ты справишься? Тогда я доверяю это тебе.)
M4A1Mod(0)<Speaker>M4A1</Speaker>||:...В этом нет необходимости.
AR15Mod(2)<Speaker>ST AR-15</Speaker>||:Но разве это не...
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Зарядите оружие и готовьтесь к выходу. Я попробую подключиться к системе защиты и отключить её, но она не пробудет выключенной слишком долго. +После этого нам придётся бежать прямо к Таллиннскому городскому вокзалу. Всё ясно?
RO635(3)<Speaker>RO635</Speaker>||:Но как это вообще можно сделать...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<SE1>AVG_weapon_reload</SE1>:Тихо, RO. Доверься M4. Приготовься и жди сигнала.
M4A1Mod(4)<Speaker>M4A1</Speaker>||<SE2>AVG_tele_disconnect</SE2>:Готовы… Три, два, один… Пошли!
()||:Оглушительный грохот артиллерийского обстрела, который еще секунду назад разносился по улицам, внезапно стих.
()||:СТ AR-15 бросает камень на улицу и смотрит, как он катится по ней, не вызывая никаких атак, а потом выходит на открытое пространство.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<黑点1><SE2>Runstep</SE2>:Нужно идти! Направляйся к станции! Быстрее!
()||<BIN>197</BIN><黑点2><SE1>Runstep</SE1><BGM>BGM_Empty</BGM>:Куклы Грифона без проблем забегают в Таллиннский вокзал.
RO635(0)<Speaker>RO635</Speaker>||<BGM>BGM_Room</BGM>:Не могу поверить...! Все эти боевые платформы вокруг станции...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Они даже не отвечают огнем, когда мы стреляем по ним! Они просто застыли на месте!
RO635(0)<Speaker>RO635</Speaker>||:Их всех взломали за один раз. Как тебе это удалось, M4?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:...Во время нейронного обновления мне установили несколько новых модулей, которые значительно расширили мои возможности в области радиоэлектронной борьбы. +Как лидер Команды AR, я не могу позволить себе постоянно подвергать своих товарищей по команде опасности.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Отлично, M4. Как твоё нейронное облако справляется с такой нагрузкой?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Хм, спасибо за заботу... Мне бы не помешал отдых. Надо перевести дух и немного остыть.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Не стоит слишком на это полагаться.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Ну да...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:О чём вы там шептались?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Ничего. А что важнее, RO, не могла бы ты оказать мне услугу? Пока я пыталась взломать турели, я заметила сетевой узел с очень интенсивным трафиком под станцией. Думаю, это командный центр автономной системы обороны... +Найди его, и мы сможем получить доступ к главному компьютеру системы обороны города Таллинна.
RO635(0)<Speaker>RO635</Speaker>||:«Узел», говоришь...? Тогда я сразу же отправляюсь.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<黑屏1>:Я тоже приду и помогу! Находить вещи — это моя сильная сторона!
()||<黑屏2><BIN>46</BIN><Night>:
RO635(0)<Speaker>RO635</Speaker>||<SE1>AVG_footsteps_cave</SE1>:Хм... Узел... А ты видишь какую-нибудь машину, похожую на компьютер или терминал...?
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:А как насчет того, что происходит у стойки обслуживания клиентов?
RO635(0)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:А, пульт управления станцией Межконтинентальной железной дороги... Это подойдет.
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:M4 просто потрясающая! Не могу поверить, что она так круто справляется с радиоэлектронной борьбой! Тебе стоит у нее кое-чему поучиться, RO.
RO635(4)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||<BGM>BGM_Empty</BGM>:(Бормочет) Это вообще не было радиоэлектронной борьбой.
RO635(4);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Brain</BGM>:Что? Что ты имеешь в виду?
RO635(4)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:С помощью средств радиоэлектронной борьбы можно взломать сразу две-три машины и взять их под контроль.
RO635(4)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:Но то, как она обошла несколько десятков автоматических систем защиты, было просто... +Проникнуть во внутреннюю систему, работающую не по протоколу Зенера, без какого-либо физического контакта — это совершенно немыслимо.
RO635(4);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:...Ты думаешь, что М4 нас обманула? Но зачем ей это делать?
RO635(3)<Speaker>RO635</Speaker>||:Может, да, а может, и нет. У меня такое ощущение, что даже она сама не совсем уверена, как ей это удалось... В любом случае, давай оставим всё как есть, пока миссия не закончится. +Ладно, давай посмотрим... Выключатель должен быть... вот здесь.
()||<黑屏1><SE1>AVG_tele_connect</SE1><BGM>BGM_Empty</BGM>:Клик... Хммммм...
()|||<黑屏2><BIN>46</BIN>:Внутри станции внезапно зажигается свет. Система кондиционирования, которая не работала уже много лет, тоже с шумом включается, поднимая облако пыли.
()||:В подземной части станции, где сначала было тихо, вскоре раздаются механические звуки.
RO635(3)<Speaker>RO635</Speaker>||<BGM>BGM_Room</BGM>:Что? Так блок питания всё-таки работает. Это полезно. +Начинаю подключение. Подключаюсь к... Системе защиты межконтинентальной железной дороги... Отлично, вот она. М4, слышишь меня?
RO635(3);M4A1Mod(0)<Speaker>M4A1</Speaker><scan><通讯框>||:<color=#00CCFF>Чётко и ясно. В главном вестибюле зажглись огни. Это ты устроила?</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<scan><通讯框>||:Да, энергосистема в Таллинне работает без сбоев. Оборудование в таком идеальном состоянии... Как бы это сказать... Трудно поверить, что все эти генераторы в зоне загрязнения, заброшенной уже несколько десятилетий, до сих пор работают нормально. +Создается почти такое ощущение, будто кто-то продолжал обслуживать основную инфраструктуру даже после того, как город был закрыт на карантин.
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><scan><通讯框>||:<color=#00CCFF>Is that so...? Is the control center of the quarantine wall down there as well?</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<scan><通讯框>||:Нет... Мне не удалось найти ничего, связанного с карантинной стеной. Думаю, они вряд ли бы объединили систему обороны города с системой управления карантинной стеной.
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><scan><通讯框>||:<color=#00CCFF>Ты права... А как насчет системы защиты вдоль железнодорожных путей? Можешь её отключить?</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<scan><通讯框>||:С этой панели управления я могу управлять лишь небольшим количеством турелей, расположенных вокруг станции. Значительная часть оборонительных систем сейчас отключена, но, как видно, они по-прежнему потребляют энергию. +Это означает, что они, возможно, уже активированы и перешли в автоматический режим после отключения от центральной диспетчерской.
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><scan><通讯框>||:<color=#00CCFF>Если ты не можешь отключить их напрямую... RO, найди для меня генераторы питания.</color>
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(0)<scan><通讯框>||:Я могу это сделать. Они в основном сосредоточены вокруг электростанции на окраине Таллинна. А почему ты спрашиваешь?
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker><scan><通讯框>||:<color=#00CCFF>Я отключу внешнее питание этих платформ.</color>
RO635(4)<Speaker>RO635</Speaker>;M4A1Mod(0)<scan><通讯框>||:Но даже в этом случае у боевых платформ всё ещё есть запасные батареи, и они не выйдут из строя сразу. +Самый безопасный вариант — дождаться, пока у них разрядятся батареи, но кто знает, сколько времени это займёт...
RO635(4);M4A1Mod(0)<Speaker>M4A1</Speaker><scan><通讯框>||:<color=#00CCFF>Как только у них отключат питание, они не смогут развернуть свои силовые поля, так как они потребляют много энергии.</color>
RO635(4);M4A1Mod(0)<Speaker>M4A1</Speaker><scan><通讯框>||:<color=#00CCFF>Когда они будут ослаблены, мы сможем легко их уничтожить.</color>
RO635(3)<Speaker>RO635</Speaker>;M4A1Mod(0)<scan><通讯框>||:Это один из возможных вариантов. +Правда, мы находимся довольно далеко от электростанции. Судя по карте, по пути нам придётся встретить немало оборонительных сооружений...
M4A1Mod(0)<Speaker>M4A1</Speaker><scan><通讯框>||<黑屏1>:<color=#00CCFF>Тебе не о чем беспокоиться. Командир организовал для нас очень надежную поддержку.</color>
()||<BGM>BGM_Empty</BGM><黑屏2><BIN>55</BIN>:
()||<BGM>BGM_Reverse</BGM>:...На окраине Таллинна.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:А? +Мы только что получили дополнительный запрос. Наша цель — уничтожить электростанцию в Таллинне. Я только что загрузила координаты.
G11(2)<Speaker>Gr G11</Speaker>||:Что? Мы же только что сели! Я думала, что смогу хотя бы вздремнуть...
HK416Mod(0)<Speaker>416</Speaker>||:А я-то думала, что ты просто будешь стоять и смотреть, как их уничтожат.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Нам не нужно вмешиваться в ситуации, с которыми они могут справиться сами. Мы — предохранитель — нет смысла так рано напрягаться. +9-я, взрывчатка готова?
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Да. Дроны, запущенные с поезда, через пять минут сбросят с воздуха ящики с грузами, начиненные взрывчаткой.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Отлично. Скорее всего, мы столкнемся с сопротивлением со стороны защитных механизмов. Уверена, вы все знаете, что делать. +Вот тут-то мы и заработаем свой бонус, так что не расслабляйтесь.
()||<黑屏1>:
