()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
M4A1Mod(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Ладно... Я только что услышала каких-то монстров, может, сходим к ним и поиграем?
M4A1Mod(0)<Speaker>M4A1</Speaker>;M4 SOPMOD IIMod(0)||:Конечно. И еще стрельба... Команда Грифона, которая ищет центр управления, наверное, подверглась нападению врага. +Связь отключена, так что поезд Командира пока не сможет въехать в город. +Давай вернёмся, чтобы поддержать их, и убедимся, что у нас достаточно сил.
M4A1Mod(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Поняла! В таком случае мы с RO возьмем на себя руководство—
M4A1Mod(0);RO635(4)<Speaker>RO635</Speaker>||:...Мы покидаем вокзал? Командир приказал нам удерживать позиции...
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(4)||:Я не вижу никаких врагов в этом районе, так что на вокзале пока все спокойно. Как подразделение специального назначения, нам нужно действовать более активно.
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:Поняла. Я установлю несколько датчиков, которые будут сигнализировать о вторжении. Если здесь возникнет какая-то опасность, мы сразу об этом узнаем.
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||<黑屏1><BGM>BGM_Empty</BGM>:Хорошо, спасибо.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>9</BIN><BGM>BGM_Brain</BGM><黑屏2>:(ОГАС, можешь проанализировать эти внешние связи?)
M4A1Mod(0)<Speaker>Ясный голос</Speaker>||:(К сожалению, я не разбираюсь в этих вопросах.) +(Зато эти связи мне очень по душе.)
M4A1Mod(0)<Speaker>M4A1</Speaker>||:(Они — часть тебя?)
M4A1Mod(0)<Speaker>Ясный голос</Speaker>||:(Конечно же, нет. Они далеки от того, чтобы стать мной.) +(Они как мелкие детали, которые появляются, когда ты что-то копируешь. Даже если бы появилась Кукла, созданная по твоему образу, ты бы сказала, что она — это ты?)
M4A1Mod(0)<Speaker>M4A1</Speaker>||:(...Значит, это дубликаты?)
M4A1Mod(0)<Speaker>Ясный голос</Speaker>||:(Наверное, их создали, чтобы имитировать меня или тебя, но они очень низкого качества. Их даже нельзя назвать «копиями». В лучшем случае это что-то вроде «изомеров».)
M4A1Mod(0)<Speaker>M4A1</Speaker>||:(Изомеры... значит, это Нито?)
M4A1Mod(0)<Speaker>Ясный голос</Speaker>||:(Есть источник сигнала с исключительно большим фазовым сдвигом. Похоже, это ядро всех источников сигнала. Сигнал меняет положение каждую секунду, словно перемещаясь между разными телами.)
M4A1Mod(0)<Speaker>M4A1</Speaker>||:(Я... не совсем понимаю, о чём ты.)
M4A1Mod(0)<Speaker>Ясный голос</Speaker>||:(Есть какое-то постоянно перемещающееся сознание, перескакивающее с одной Куклы на другую, словно пытаясь к чему-то добраться. Оно тревожное и испуганное, как заблудившийся ребёнок.)
M4A1Mod(0)<Speaker>M4A1</Speaker>||:(Так это же Нито? Она что, проводит электронную атаку?)
M4A1Mod(0)<Speaker>Ясный голос</Speaker>||:(Нет... это не совсем то же самое. Это не похоже на электронную атаку, скорее на... какое-то поисковое действие.) +(Однако она установило бесчисленное количество соединений и захватило этот город. Мне кажется, у нее может быть именно тот доступ, который тебе нужен. Хочешь, я определю его точное местонахождение?)
M4A1Mod(0)<Speaker>M4A1</Speaker>||:(В этом нет необходимости.)
M4A1Mod(0)<Speaker>Ясный голос</Speaker>||:(Ты испугана. Ты не готова принять правду. Тебе кажется, что всё может оказаться не так, как ты ожидаешь.)
M4A1Mod(0)<Speaker>M4A1</Speaker><Shake>||<黑屏1><BGM>BGM_Empty</BGM>:(Завались!)
AR15Mod(5)<Speaker>ST AR-15</Speaker>||<黑屏2><BIN>197</BIN>:M4...что с тобой?
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(5)||:Ничего такого...
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Ну ладно... Тогда позволь мне высказать своё мнение. +Я думаю, нам стоит разобраться с корнем проблемы и найти источник помех, которые всё это вызывают.
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Нам нужно двигаться вперёд, что бы ни случилось. Мы сможем принять решение, когда у нас будет больше информации.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Empty</BGM><黑点1>:Ага.
()<Speaker></Speaker>||<黑点2><BIN>159</BIN>:...Команда AR продвигается к месту, откуда раздавались выстрелы.
RO635(0)<Speaker>RO635</Speaker>||<BGM>BGM_Sneak</BGM>:Патроны такого калибра... +M4, Десерт Игл была здесь.
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:... +Повсюду следы от пуль и трупы ЭЛИД. +Видишь ещё каких-нибудь Кукол Грифона?
M4A1Mod(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Неа... Все враги здесь уже уничтожены. +Но этот клочок ткани мне очень знаком! Он принадлежит тому человеку, с которым я столкнулась в поезде...
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:Подумай-ка... +Это одежда Десерт Игл? +AR-15, ты помнишь?
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Похоже на то, но вместо того, чтобы просто пойти туда, давай лучше осмотримся... +Смотри, кто-то оставил здесь координаты.
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Эти координаты записаны в том же формате, что и в планах на случай, если мы потеряем связь друг с другом. Это от одной из наших Кукол. +Место, указанное этими координатами, находится неподалеку. Нам стоит сходить и посмотреть.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:...Я по-прежнему считаю, что нам нужно в первую очередь заняться этими источниками помех. Эшелоны Грифона сами справятся с врагами.
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:А что, если помехи станут настолько сильными, что выведут наших Кукол из строя? Нам нужно обеспечить безопасность Кукол.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:M4... ты боишься того, что вызывает эти сбои?
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:...
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:...Если ты будешь слишкой робкой, чтобы действовать, мы можем упустить последний шанс, который у нас есть, чтобы дать отпор врагу.
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Я знаю, но сейчас... давай двигаться дальше и найдём этот отряд Грифона. Мы не можем допустить, чтобы наши друзья пропали без вести, кто бы они ни были.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:...Подтверждаю.
()<Speaker></Speaker>||<BIN>46</BIN><黑屏2>:Внутри здания.
DesertEagle(0)<Speaker>Десерт Игл</Speaker>||<SE2>Gunfight</SE2><BGM>BGM_Reverse</BGM>:ACR, сколько патронов у тебя осталось?
DesertEagle(0);ACR(0)<Speaker>ACR</Speaker>||:Лидер, у меня осталось меньше 30 % боеприпасов!
DesertEagle(0)<Speaker>Десерт Игл</Speaker>;ACR(0)||:Отходи ко мне. Мы отступим ещё на один этаж вверх. +Это максимальная безопасная высота. Если их станет больше, возможно, придётся подумать о том, чтобы спрыгнуть отсюда.
DesertEagle(0);ACR(0)<Speaker>ACR</Speaker>||<SE1>Select</SE1>:Я впервые пробую прыжок с тарзанкой... Может, использовать заражённых, чтобы смягчить удар?
DesertEagle(0)<Speaker>Десерт Игл</Speaker>;ACR(0)||:Если не боишься испачкаться.
DesertEagle(0);SSG3000(0)<Speaker>SSG 3000</Speaker>||:Подожди, Лидер. Я вижу, кто-то идёт! +Их одежда... +Это из команды AR!
DesertEagle(0)<Speaker>Десерт Игл</Speaker>;SSG3000(0)||:Отлично, похоже, маркер, который я там оставила, пригодился...
DesertEagle(0);ACR(0)<Speaker>ACR</Speaker>||<黑点1>:Ты всегда права, Лидер! +Давай покажем им нашу позицию выстрелами!
()<Speaker></Speaker>||<黑点2><BIN>88</BIN><BGM>BGM_Empty</BGM>:Пять минут спустя, на втором этаже.
DesertEagle(0)<Speaker>Десерт Игл</Speaker>||<BGM>BGM_Room</BGM>:Спасибо, что спасли нас в последний момент. +Здесь ситуация намного хуже, чем ожидалось, и здесь много заражённых людей, которые умерли не более 10 дней назад. А как дела были по дороге сюда?
M4A1Mod(0)<Speaker>M4A1</Speaker>;DesertEagle(0)||:Не за что. У нас дела обстоят гораздо лучше. +Это центр управления карантинной зоной?
M4A1Mod(0);DesertEagle(0)<Speaker>Десерт Игл</Speaker>||:Да. Когда мы отступали на крышу, мы заметили комнату, заполненную оборудованием управления, рядом с центральной частью здания.
M4A1Mod(0)<Speaker>M4A1</Speaker>;DesertEagle(0)||:Спасибо, мы сейчас пойдем и осмотрим эту комнату.
M4A1Mod(0);DesertEagle(0)<Speaker>Десерт Игл</Speaker>||:Надеюсь, тебе удастся открыть карантинную заградительную стену, чтобы все смогли как можно скорее покинуть этот страшный город...
M4A1Mod(0)<Speaker>M4A1</Speaker>;DesertEagle(0)||:Этот город заброшен уже больше десяти лет. Откуда же берутся все эти ЭЛИДы…? +А, остальные вернулись.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Ликвидация завершена. +Здесь их оказалось меньше, чем ожидалось. Даже к лучшему — сэкономили немного сил.
M4A1Mod(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Мы прошли кругом по улице, а внизу собралась целая толпа! +Какое зрелище, жаль, что я не смогла это заснять.
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:Если бы ты так сделала, это было бы похоже на фильм про зомби. Вместо того чтобы смотреть на такие сцены... я лучше пойду посмотрю на трупы здесь.
SSG3000(0)<Speaker>SSG 3000</Speaker>;RO635(0)||<BGM>BGM_Empty</BGM>:Кстати, ты раньше такое видела, мисс RO?
SSG3000(0)<Speaker></Speaker>;RO635(0)||:SSG вскрывает одежду одного из трупов и показывает RO что-то на теле.
SSG3000(0)<Speaker>SSG 3000</Speaker>;RO635(0)||:Мы нашли их, когда впервые оказались здесь. У всех этих трупов на теле обнаружились похожие устройства.
SSG3000(0);RO635(0)<Speaker>RO635</Speaker>||:Металлические браслеты? ...Я никогда раньше ничего подобного не видела. +Но это... Хм... очень похоже на изделия Парадеуса. +Они любят использовать блестящие белые корпуса, и у них очень своеобразная эстетика. М4, ты видела что-то подобное, когда раньше сражалась с Нито?
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:Нет.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Brain</BGM>:Вот здесь я нашла проездной. +Эти люди... они были беженцами.
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Проездной билет?
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Взгляни. +«Этот пропуск можно использовать для временного проживания в безопасном убежище (Таллинн), с...» Остальное не разобрала. На нём есть защитные элементы. Похоже, его выпустила официальная организация.
M4A1Mod(0);SSG3000(0)<Speaker>SSG 3000</Speaker>||:Действительно, их одежда выглядит довольно потрепанной. +И там ещё несколько детей. Думаю, дети умерли быстрее остальных, поэтому они не успели превратиться в зомби...
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:...Кстати, я только что просмотрела записи с данными. Не могу сказать наверняка, но женщина, очень похожая на Нито, появлялась здесь довольно часто. +Я отправляю вам всем копии, чтобы вы могли сравнить между собой.
AR15Mod(0)<Speaker>ST AR-15</Speaker>;RO635(0)||:Тц... Так это, значит, территория Парадеуса?
AR15Mod(0);RO635(0)<Speaker>RO635</Speaker>||:И это ещё не всё. +Мне кажется... этих людей обманом заманили сюда... +Кто-то сказал им, что здесь безопасно и что они смогут здесь на время укрыться...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>;RO635(0)||:Как это место может быть безопасным?
M4 SOPMOD IIMod(0);RO635(0)<Speaker>RO635</Speaker>||:Если мой анализ верен... SOP-II, возьми идентификационный браслет, который мы нашли у беженца, и выйди из здания.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker><Shake>;RO635(0)||:Э? Но ведь там же находятся неповрежденные турели!
M4 SOPMOD IIMod(0);RO635(0)<Speaker>RO635</Speaker>||:Не переживай, с твоим телом всё будет в порядке, даже если тебе придётся пару раз получить по голове.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>;RO635(0)||<震屏>:Как это может быть нормально?!
M4 SOPMOD IIMod(0);RO635(0)<Speaker>RO635</Speaker>||:Поверь мне. Выйди на улицу и попробуй.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>;RO635(0)||:Ну, раз ты так говоришь... Поехали!
()<Speaker></Speaker>||<SE1>AVG_lifttable</SE1>:SOP-II прыгает к подножию здания и быстро прячется за укрытием.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Ах... 
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Понятно... 
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker><scan><通讯框>||:<color=#00CCFF>Ух ты! Ни одна из турелей в меня не стреляла!</color>
RO635(0)<Speaker>RO635</Speaker>||:(Горько улыбается) Судя по твоему выражению лица, ты, наверное, тоже догадалась, М4. +...Кто-то раздал беженцам эти идентификационные браслеты и обманом заманил их в этот город. +Это устройство опознавания, которое позволило им войти в город, не подвергаясь нападению.
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:А потом они заразились и стали пушечным мясом для Парадеуса. +Можно ли взломать сигнал свой-чужой?
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:Сейчас над этим работаю, уже проверила внутреннюю структуру системы распознавания. Там не должно быть никаких подводных камней. +Еще отправила сигнал распознавания Командиру, чтобы наш поезд не попал под обстрел при въезде в город.
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:Итак, мы выполнили половину нашей миссии… или нет? +Тем не менее, все эти беженцы выглядели так, будто погибли одновременно. Судя по их внешнему виду, их убила сильная доза радиации Коллапс, но уровень радиации здесь не очень высокий.
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||:M4, ты что-нибудь заметила? Там, где нашли беженцев, повсюду валяются какие-то странные лепестки...
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635(0)||:Я их тоже видела. Что это за лепестки?
M4A1Mod(0);RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:Я тоже не уверена, но у меня такое чувство, что гибель этих беженцев как-то связана с этими лепестками. +В любом случае, я уже сохранила эти изображения в своём нейронном облаке. Как только связь восстановится, я отправлю их на командный пункт. Возможно, Командир что-то знает об этом.
