()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>По словам одного из источников, вблизи базы обнаружены следы передвижения отрядов Парадеус. Туда также направляются военные подразделения.</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||:Разве ты только что не сказал, что Госбез не даст военным захватить этот узел «Щука»?
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Да, ты не ослышался.</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||:Тогда зачем они отправляют Грифон через полконтинента, чтобы тот делал их работу...?
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Потому что на этом объекте фактически не будет узла системы "Щука".</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||<BGM>BGM_Empty</BGM>:Извините...?
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||<BGM>BGM_Reverse</BGM><黑屏1>:<color=#00CCFF>Хм, у меня вопрос — ты слышал когда-нибудь о человеке по имени Ликорис?</color>
NPC-Lyco(0)<Speaker>Командир</Speaker>||<黑屏2><BIN>54</BIN>:Ты имеешь в виду главного инженера «Сангвис Ферри Индастриз»? Я уже видел это имя в документах, которые мне дала Персика.
NPC-Lyco(0)<Speaker>Хавьер</Speaker>||:<color=#00CCFF>Да, это он. Именно Ликорис разработал Владыку Сангвис… с кодовым названием «Элиза». Наверное, ты это уже знаешь.</color>
NPC-Lyco(0)<Speaker>Хавьер</Speaker>||:<color=#00CCFF>Я хочу сказать, что данные, на основе которых Лико создал Элизу, были получены из узла системы «Щука» A-51-241 с помощью обратной операции. Этот узел «Щука» сейчас хранится на подводной базе в Палдиски.</color>
()<Speaker>Командир</Speaker><scan><通讯框>||:Итак, Элиза...
BOSS-12(0)<Speaker>Хавьер</Speaker>||:<color=#00CCFF>...Это не совсем копия. Лико вложил в этот проект много своих собственных оригинальных идей. Это был поистине поразительный пример гениальности.</color>
BOSS-12(0)<Speaker>Хавьер</Speaker>||:<color=#00CCFF>Тем не менее, кодировка основных фреймов вполне узнаваема. Другими словами, этот конкретный узел системы можно считать «чертежом» Элизы.</color>
BOSS-12(0)<Speaker>Хавьер</Speaker>||:<color=#00CCFF>Госбез считает, что это просто ещё один из множества обычных узлов системы «Щука», точно так же, как я раньше полагал, что «Инцидент Бабочки» был чистой случайностью.</color>
BOSS-12(0)<Speaker>Хавьер</Speaker>||:<color=#00CCFF>Но эта череда событий заставила меня поверить, что Сангвис Ферри, Военные и Парадеус… — это не просто параллельные линии, которые случайно пересеклись.</color>
()<Speaker>Хавьер</Speaker>||:<color=#00CCFF>И именно с подводной базы в Палдиски всё и началось.</color>
()<Speaker>Хавьер</Speaker>||<黑屏1>:<color=#00CCFF>Надеюсь, тебе удастся захватить этот объект, пока улики не уничтожили. Это должно пригодиться и тому другу, о котором ты не хочешь признаваться.</color>
()<Speaker>Командир</Speaker><scan><通讯框>||<黑屏2><BIN>202</BIN>:Хавьер... Ты...
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Я знаю, что это будет нелегкая задача. И Палдиски, и Таллинн уже давно превратились в города-призраки. Отправлять тебя в Красную зону — это огромный риск.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>И ещё... Командир, чем больше мы узнаём о правде, скрывающейся за «Инцидентом Бабочки», тем ближе мы подходим к опасной огненной бездне.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Тебе до сих пор невероятно везло, и это одна из главных причин, почему я готов поставить на тебя, но не рассчитывай, что богиня удачи будет благоволить тебе каждый раз.</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||:Благодарю вас за заботу, господин Хавьер. Думаю, я понимаю...
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Нет, ты даже не представляешь.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Ты бы не дошёл до этого, если бы не был таким занудой, готовым рискнуть собственной жизнью ради других, Командир.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Эта молодая леди — я имею в виду Персику — скоро узнает, что ты направляешься в Палдиски, и начнёт просить у тебя всякие неразумные вещи.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Тебе нужно научиться говорить людям «нет», иначе однажды твоя удача иссякнет.</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||:...А что, если я скажу «нет»?
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Ха, ты быстро схватываешь, Командир. Но именно поэтому я просто прошу тебя об одолжении, а не даю тебе назначение на этот раз.</color>
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Береги себя. Надеюсь, ты будешь таким же бодрым, когда мы снова увидимся.</color>
()||<黑屏1><BGM>BGM_Empty</BGM><SE1>AVG_tele_disconnect</SE1>:...Конец передачи.
()||<黑屏2><BIN>202</BIN><BGM>BGM_stage1</BGM>:12 часов спустя.
()<Speaker>Калина</Speaker>||:Привеееет~ Командир, ты уже проснулся...?
()<Speaker>Командир</Speaker>||:Проходи.
NPC-Kalin(3)<Speaker>Калина</Speaker>||<SE1>AVG_door_elecport</SE1>:Ты всё ещё думаешь о вчерашней беседе с мистером Хавьером?
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Эх... Я думал, что полностью готов, но он всё равно намного впереди меня.
NPC-Kalin(1)<Speaker>Калина</Speaker>||:...Тот пожилой господин оказался довольно разговорчивым. Наверное, ты узнал что-то, что стоит изучить?
NPC-Kalin(1)<Speaker>Командир</Speaker>||:Он действительно много говорил, но рассказывал нам только то, что хотел, чтобы мы знали, и уже продумал несколько ходов вперед. +Наверное, нам стоит радоваться, что он на стороне Грифона... по крайней мере, пока.
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Не переживай слишком сильно о том, что будет дальше, Командир, ведь прямо сейчас есть масса проблем, которые вызывают головную боль и требуют твоего внимания. +Межконтинентальный поезд прибудет на окраину Таллинна примерно через 10 минут, а наши разведывательные эшелоны уже представили свои отчеты. +Как ты и предполагал, Таллинн — единственный транспортный узел, связанный с базой в Палдиски, — уже давно находится в режиме изоляции из-за сильного заражения. +Команда AR, которая отправилась на разведку, пришла к тому же выводу — если карантинная стена вокруг Таллинна останется закрытой, наш поезд не сможет продвигаться дальше. Сейчас они ждут от тебя новых указаний.
NPC-Kalin(0)<Speaker>Командир</Speaker>||:Так скоро? Я думал, что смогу хотя бы немного поспать...
NPC-Kalin(3)<Speaker>Калина</Speaker>||:Мы не переместили командный центр Грифона на «Межконтинентальный экспресс» ради того, чтобы ты мог похвастаться роскошным купе, Командир. +Все Т-Куклы готовы к выходу, как только поезд остановится и ты дашь команду.
NPC-Kalin(3)<Speaker>Командир</Speaker>||<黑屏1>:Похоже, программа этой поездки будет гораздо насыщеннее, чем в Белграде. 
