()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:...
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>:Нет! Я не могу... Я не могу их бросить! +Поставь меня на землю! Отпусти меня!
AR15()<Speaker>ST AR-15</Speaker>||<BIN>9</BIN>:Не шевелись! В твоем нынешнем состоянии, если я тебя отпущу, С.Ф. поймает тебя, не дав сделать и пары шагов!
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:И кто виноват, что я такая?!
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN><黑屏2><SE2>AVG_Rain2</SE2>:Мы были вынуждены разорвать твоё соединение II уровня, чтобы прервать связь между тобой и людьми, которые за тобой наблюдают.
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:Люди, которые следят за мной? +...Кто? Кто за мной следит?
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN>:Неужели ты думала, что Сангвис Ферри был нашим единственным врагом?
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:Что... Что именно происходит... +Разве миссия Грифона... не состоит в уничтожении Сангвис Ферри...? +Я... Я бросила своих товарищей по команде и свою цель...
AR15()<Speaker>ST AR-15</Speaker>||<BIN>117</BIN><黑屏1>:Что бы ты ни хотела сделать, сначала отдохни. +После этого мы дадим тебе необходимую силу...
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>:...
AR15()<Speaker>ST AR-15</Speaker>||<BIN>9</BIN>:M4?
AK12()<Speaker>AK-12</Speaker>||<BIN>9</BIN><黑屏1>:Её нейронное облако было перегружено. Она не могла поддерживать поверхностное сознание I уровня.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BIN>99</BIN><黑屏2>:Какой беспорядок... +Давай, АК-12. Расскажи, что ты обнаружила на месте происшествия...
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:Только плохие новости. +Во-первых, M4 SOPMOD II пропала. Я уверена, что её нет поблизости, и вокруг не было никаких зацепок, которые могли бы подсказать нам её текущее местонахождение.
AR15Mod(0)<Speaker>ST AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:...
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:Я была слишком прямолинейна?
AR15Mod(0)<Speaker>ST AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:Лучше говорить прямо... +Как насчет RO? Я видела её...
AR15Mod(0)<Speaker></Speaker>;AK12(0)||<BIN>99</BIN>:...AK-12 вздыхает.
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:RO635 полностью перестала функционировать, поэтому...
AR15Mod(0)<Speaker>ST AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:... + Я... я не прощу им этого. +Кроме этого, что касается моего заявления о восстановлении нейронного модуля погибших Кукол...
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:RO635 была полностью уничтожена. +Я уверена, что это произошло после её убийства.
AR15Mod(0)<Speaker>ST AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:... +Может ли это быть хорошей новостью...
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:Посмотри на это с положительной стороны. Возможно, SOP-II избежала засады и ушла с нейронным модулем RO. +Тебя устроит такой ответ?
AR15Mod(0)<Speaker>ST AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:... +Я бы очень хотел считать, что это так.
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:Конечно, я бы не советовала тебе так думать, чтобы не разочароваться в итоге. +Но сейчас не время думать о других. +Вокруг нас находятся две группы С.Ф., соответственно на 11 и 5 часов. Местность вокруг настолько запутанная, что мы не можем обойти их. Наверное, придется их уничтожить.
AR15Mod(0)<Speaker>ST AR-15</Speaker>;AK12(0)||<BIN>99</BIN>:Как можно разведывать поле боя, ведя при этом непринужденную беседу?
AR15Mod(0);AK12(0)<Speaker>AK-12</Speaker>||<BIN>99</BIN>:Ты смотришь на меня свысока или переоцениваешь себя?
AR15Mod(0)<Speaker>ST AR-15</Speaker>;AK12(0)||<BIN>99</BIN><黑屏1>:Ни то, ни другое. Пусть результаты битвы говорят сами за себя.
AR15()<Speaker>ST AR-15</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:(M4... если бы ты знала, в каком состоянии находилась Команда AR...) + (Что... ты бы сделала?)

