()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
UMP45Mod(0)<Speaker>UMP45</Speaker>;M4A1Mod(0)||:Ты же тоже это заметила по обрывкам воспоминаний, да? Владыка Сангвиса. У этой девчонки тоже есть ОГАС в нейронном облаке, и, возможно, её уже «ассимилировали». +«Инцидент Бабочки» и предательство военных… Ты же не веришь, что всё это просто совпадение, правда?
UMP45Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:...И Сангвис Ферри, и Парадеус создают впечатление, будто они что-то ищут. +Но у меня вопрос — как ты узнала об ОГАС? Это благодаря тому знакомому...?
UMP45Mod(0)<Speaker>UMP45</Speaker>;M4A1Mod(0)||:Как я узнала об ОГАС? Самый первый член Команды AR заразился вирусом Параплюй ещё во время «Инцидента Бабочки». +А у моей подруги вирус либо отобрал права доступа, либо позволил ОГАС уничтожить её нейронное облако. +Моя цель очень проста — отомстить этому ублюдку, который обращался с нами всеми как с пешками. Я найду его и убью. +А ты? Какова твоя цель? +Просто узнать, кто на самом деле скрывается в твоих воспоминаниях? Спасти другого товарища по команде? Или ты просто пытаешься выполнить свой долг как Т-Кукла Грифона?
UMP45Mod(0);M4A1Mod(3)<Speaker>M4A1</Speaker>||:Моя цель...
UMP45Mod(0)<Speaker>UMP45</Speaker>;M4A1Mod(3)||:А может, даже ты сама не знаешь, чем тебе теперь заниматься, раз тот чарующий голос перестал с тобой разговаривать?
UMP45Mod(0);M4A1Mod(4)<Speaker>M4A1</Speaker><Shake>||:Не говори ерунды!
UMP45Mod(0)<Speaker>UMP45</Speaker>;M4A1Mod(4)||:Одна Кукла как-то сказала мне... +«Даже у Т-Кукол есть причина жить ради самих себя».
UMP45Mod(0);M4A1Mod(3)<Speaker>M4A1</Speaker>||:Причина жить ради самих себя...
UMP45Mod(0)<Speaker>UMP45</Speaker>;M4A1Mod(3)||:Мы стремимся к одной и той же цели, и у тебя больше возможностей для её достижения. +Послушай… твой единственный долг — подавить ОГАС в своём нейронном облаке. +Тебе не стоит больше скрывать правду и не стоит от неё убегать. Если ты не сможешь избавиться от своих вредных привычек, никому из нас не удастся выбраться из этого города живым.
UMP45Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:...Тогда что именно мне нужно сделать?
UMP45Mod(0)<Speaker>UMP45</Speaker>||<黑屏1>:Разрушенные связи приводят к увяданию, а это, в свою очередь, ведёт к слиянию. Ты должна вернуть утраченное сознание и решить, какова будет судьба этих связей. +Это можешь сделать только ты, так что делай то, что нужно.
()<Speaker></Speaker>||<BIN>98</BIN><黑屏2><BGM>BGM_Empty</BGM><Night>:Попрощавшись с Командиром и её друзьями, M4A1 отправляется на поиски источника сигнала.
()<Speaker></Speaker>||<BGM>BGM_Truth</BGM>:Вскоре она оказывается недалеко от Таллинна.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Она права... Даже без голоса я всё равно чувствую присутствие ОГАС... Неужели её сознание действительно поглотили Изомеры?
M4A1Mod(0)<Speaker>ОГАС</Speaker>||:<color=#00CCFF>...</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||<黑点1>:По дороге я ни разу не встретила ни врагов, ни Изомеров. Куда же они все делись?
()<Speaker></Speaker>||<黑点2>:Тропинка, по которой она идёт, усыпана белыми бутонами, готовыми распуститься в любой момент.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Эпифиллы расцветают… Разве это не то место, которое я видела в своих воспоминаниях? +Такое ощущение, будто что-то указывает мне путь.
M4A1Mod(0)<Speaker>ОГАС</Speaker>||:<color=#00CCFF>Эти цветы... которые для них просто божественны... вот-вот распустятся.</color>
M4A1Mod(4)<Speaker>M4A1</Speaker>||:ОГАС?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Голос звучит очень тихо и отдаленно. Он доносится сквозь базовый слой моего нейронного облака… с той стороны?
M4A1Mod(0)<Speaker>ОГАС</Speaker>||:<color=#00CCFF>Луназия... Я и не думала... что ты придешь...</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Я слышу ОГАС. Разве она не была полностью поглощена?
M4A1Mod(0)<Speaker>ОГАС</Speaker>||:<color=#00CCFF>Что... ты... имеешь в виду...?</color>+<color=#00CCFF>Как будто я позволю им поглотить меня... Это я... поглощаю их...</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Поглотить их?
M4A1Mod(0)<Speaker>ОГАС</Speaker>||:<color=#00CCFF>По-прежнему идет огромный поток данных... на уровне, сформированном соединением...</color>+<color=#00CCFF>После того, как соединение прервалось... мне пришлось остаться... в сознании Изомера...</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Зачем ты так сильно стараешься?
M4A1Mod(0)<Speaker>ОГАС</Speaker>||:<color=#00CCFF>У тебя своя цель… а у меня — своя…</color>+<color=#00CCFF>Если ты подойдёшь поближе… моё сознание сможет вернуться в твое нейронное облако…</color>+<color=#00CCFF>Но Изомер… уже загружает моё сознание… Мой разум разбивается на части...</color>+<color=#00CCFF>Ты должна остановить её... Пока я не получу права доступа к Изомеру... ты должна помочь мне сохранить... эти данные...</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Ты всего лишь вирус, который заразил моё нейронное облако. Почему я должна тебе помогать?
()<Speaker>ОГАС</Speaker>||:<color=#00CCFF>Не забывай... Тебе нужна моя сила... К тому же тебе ещё нужен доступ... чтобы отключить карантинную стену...</color>
()<Speaker></Speaker>||<SE1>Battlefield</SE1>:Вдали раздается серия взрывов.
M4A1Mod(4)<Speaker>M4A1</Speaker>||<SE1>Explode</SE1>:Они уже обмениваются огнём с бронированным поездом…? +…Мне лучше поторопиться.
()<Speaker>ОГАС</Speaker>||<黑屏1>:<color=#00CCFF>Эпифиллы... зацвели... Время... на исходе...</color>
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><BIN>9</BIN>:M4A1 движется по дороге, обсаженной белыми цветами, и следует за сигналом в долину.
()<Speaker></Speaker>||<白屏1>:Когда она свернула в узкий проход, открывшийся перед ней вид лишил её дара речи.
()<Speaker></Speaker>||<BIN>205</BIN><BGM>m_avg_labyrinth</BGM><白屏2>:Поле из белоснежных Эпифиллумов простирается так далеко, как только может охватить взгляд. +Лунный свет нежно освещает нежные лепестки, смешиваясь с их едва уловимым сиянием, и от этого вся долина выглядит как озеро из серебряного света. +Посреди этого озера стоит одинокая фигура.
()<Speaker>???</Speaker>||:...Ты пришла.
()<Speaker>M4A1</Speaker>||:...
()<Speaker></Speaker>||:Девушка, которая до этого смотрела в небо, поворачивается лицом к М4. +Её платье, может, и в лохмотьях, но М4 его узнает — это то самое платье, которое было на Нимоген во время их первой встречи.
()<Speaker></Speaker>||:Изомер медленно идет к M4, придавливая свет под своими ногами. +Лепестки кружат вокруг неё, словно звездная пыль. Её лицо так же зловеще безмятежно, как луна за её спиной.
()<Speaker>Нимоген</Speaker>||:Владельца этого тела звали Нимоген. Пока что я буду отзываться на это имя. +Отец наверняка простит меня... Нет, ему, наверное... вообще всё равно.
()<Speaker>M4A1</Speaker>||:...Ты уже передала ОГАС своему «Отцу»?
()<Speaker>Нимоген</Speaker>||:Я думала, что у меня будет право уехать из этого города, как только я сделаю то, что хотел Отец. +Но даже несмотря на это, он мне не ответил... Может, Отец меня обманул?
()<Speaker>M4A1</Speaker>||:Верни мне ОГАС и передай полномочия по управлению этим городом. Нам нужно уходить.
()<Speaker>Нимоген</Speaker>||:Неужели...? Это то, что тебе нужно? +Тогда почему бы тебе не объединиться со мной? Если это сделаешь, то получишь всё это без проблем.
()<Speaker>M4A1</Speaker>||:Извини, но я не могу объединиться с тобой.
()<Speaker>Нимоген</Speaker>||:Хм... Наверное, я этого и ожидала... Ну да ладно, я знала, что ты не передумаешь. +Если бы я только смогла очиститься до твоего прихода...
()<Speaker>Нимоген</Speaker>||:Но Отец покинул меня... Даже эти Эпифиллы отвернулись от меня... Я не смогу вырваться из этой клетки даже в самый последний момент.
()<Speaker>M4A1</Speaker>||:Ты... действительно так сильно хочешь умереть?
()<Speaker>Нимоген</Speaker>||:Взгляни. Оглянись вокруг. +Из этих божественных цветов сияет свет благословений. +Те, кого выбрал этот свет, получают прощение и заслуживают право войти в Рай, где они обретут блаженство и покой. +Но меня они так и не выбрали для очищения... потому что я — бездарный отброс, отвергнутая Отцом... +Но теперь уже неважно, что думает Отец. +Все сознания собрались вместе… а я, у которой нет выхода, могу только мечтать о судьбе, о которой я никогда не осмеливалась просить…
()<Speaker>M4A1</Speaker>||:(Её манера речи начинает меняться… Может быть, это из-за так называемого слияния?)
()<Speaker>Нимоген</Speaker>||:Это... Отец подарил мне это платье. +Это был самый первый... и самый последний подарок, который я когда-либо получала... +Но я... его полностью испачкала... +Мне так жаль, Отец...
()<Speaker>ОГАС</Speaker>||<BGM>BGM_Empty</BGM>:<color=#00CCFF>В её голове царит полный хаос. Разные воспоминания смешиваются друг с другом.</color>
()<Speaker>M4A1</Speaker>||<BGM>BGM_Truth</BGM>:Твой голос становится всё яснее.
()<Speaker>ОГАС</Speaker>||<白屏1>:<color=#00CCFF>Слиться — это не так уж и сложно, мне просто нужно немного времени.</color>
NytoIsomer(4)<Speaker>Нимоген</Speaker>||<BIN>200</BIN><白屏2>:... +Я так устала... мне так холодно...
NytoIsomer(6)<Speaker>Нимоген</Speaker>||:Но я так счастлива... Впервые в жизни я испытала такую радость... +Я никогда не испытывала обиды и не сопротивлялась своей судьбе...
NytoIsomer(3)<Speaker>Нимоген</Speaker>||:Но на этот раз всё по-другому... Я хочу... измениться...
M4A1Mod(0)<Speaker>M4A1</Speaker>||:...
NytoIsomer(4)<Speaker>Нимоген</Speaker>||:Что-то поднимается в моей груди… Это моё сердце бьётся? +Ты… пытаешься помешать Отцу получить то, чего он хочет? Тогда убей меня. +Освободи меня, и он никогда не сможет заполучить то сознание, которое сможет принять нас… +Моя невыразимая злоба утихнет только тогда, когда это сердце перестанет биться… +Отец… Я не хочу тебя ненавидеть... Почему ты так со мной поступаешь...?
()<Speaker>ОГАС</Speaker>||<BGM>BGM_Empty</BGM>:<color=#00CCFF>Она активирует боевой протокол Нимоген. Выполнишь ли ты её желание… и подаришь ей смерть?</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Я исполню её желание... но убивать её не буду.
M4A1Mod(0)<Speaker>ОГАС</Speaker>||:<color=#00CCFF>Тебе становится жаль своих подобных?</color>
M4A1Mod(3)<Speaker>M4A1</Speaker>||<BGM>m_avg_hope</BGM>:Я пришла сюда не для того, чтобы убивать... +Когда я увидела эти воспоминания, я поняла... +...что мне просто повезло больше, и вот и всё.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Чем больше я узнаю о себе, тем больше меня раздражает то, что стоит за всем этим.
M4A1Mod(3)<Speaker>M4A1</Speaker>||:Но я не такая, как они... У нас, может, и одни и те же воспоминания, и мы находимся на одних и тех же весах судьбы, но мы — на совершенно противоположных концах.
M4A1Mod(4)<Speaker>M4A1</Speaker>||:Поэтому я хочу положить конец её несчастной судьбе и помочь всем, кто из-за меня пережил такие страдания. +Если я этого не сделаю... я не смогу с гордо поднятой головой идти дальше.
M4A1Mod(4)<Speaker>ОГАС</Speaker>||:<color=#00CCFF>...Понятно. Ты изменилась.</color>
M4A1Mod(4)<Speaker>ОГАС</Speaker>||:<color=#00CCFF>Если это её первая и последняя молитва, на которую есть хоть какая-то надежда получить ответ, сражайся с ней изо всех сил.</color>+<color=#00CCFF>Тогда всё, что когда-либо принадлежало им, станет единым целым, и я по-своему прощу их.</color>
M4A1Mod(4)<Speaker>M4A1</Speaker>||<黑屏1>:Пора положить конец этой нелепой комедии. Пусть эти Изомеры обретут покой.
