()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:...
AR15(0)<Speaker>ST AR-15</Speaker>||:Не волнуйся. По крайней мере, этот человек более надежен, чем M4A1.
？？()<Speaker>???</Speaker>||<黑点1>:Хм, я уверена в этом, если не сказать больше. +Хорошо, готова к выполнению приказа?
M4A1(2)<Speaker>M4A1</Speaker>||<黑点2><BIN>9</BIN><BGM>BGM_Empty</BGM>:Приказы... +Почему я вынуждена подчиняться приказам этого человека...? +Почему это воспоминание... отличается от того, как я его запомнила...? +Разве Команда AR... не действовала самостоятельно? +Разве я не... лидер Команды AR?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Тебя обманули, M4A1... +Позволь мне показать тебе правду.
M4A1(3)<Speaker>M4A1</Speaker>||:Правда... Мне плевать на правду. Дайте мне вернуться. +Они... они всё ещё нуждаются во мне!
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Но ты мне тоже нужна. +Правда обязательно должна звучать—
RO635()<Speaker>RO635</Speaker>||:M4!! +Проснись, M4!
M4A1(2)<Speaker>M4A1</Speaker>||<BGM>BGM_Wake</BGM>:Это... RO...?
RO635(5)<Speaker>RO635</Speaker><通讯框>||:Извини, что снова нарушаю твой сон, но тебе нужно проснуться! +Кто-то пытается взломать твою нейронную сеть, и мы в большой опасности!
M4A1(2)<Speaker>M4A1</Speaker>||:RO... Я...
RO635(4)<Speaker>RO635</Speaker><通讯框>||:M4A1! Где ты? Ты меня слышишь? Ответь мне!
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Не отвечай ей. Ты уже не та, кем была раньше.
清澈的女声()<Speaker>Ясный женский голос</Speaker>||:Не отвечай ей. Теперь ты можешь сама принять решение.
RO635(4)<Speaker>RO635</Speaker>||:Пожалуйста, проснись!
M4A1(2)<Speaker>M4A1</Speaker>;RO635(4)||:RO... Я... Я здесь! ... Я прямо здесь!
M4A1(2);RO635(2)<Speaker>RO635</Speaker>||:Слава богу, M4! Я наконец-то нашла тебя! +Слушай, сейчас ты потерялась в сети и подвергаешься атаке огромного количества сигналов. +Я пытаюсь помочь тебе разорвать связь с хакерами и вернуть твоё сознание на уровень II. +Я отвлеку поток данных для тебя с помощью всего своего процессора! +До тех пор ты должна защищаться всеми силами!
M4A1(2)<Speaker>M4A1</Speaker>;RO635(2)||:Где SOP-II? А Командир? Как у них дела?
M4A1(2);RO635(4)<Speaker>RO635</Speaker>||:Лучше, чем у тебя. Сейчас важно только то, что ты можешь! +Я сейчас перенаправляю поток данных. Не дай иллюзиям обмануть тебя. Сосредоточься и следуй за мной! +Твоё сознание скоро восстановится!
M4A1(2)<Speaker>M4A1</Speaker>||:Я... сделаю все, что в моих силах...
清澈的女声()<Speaker>Ясный женский голос</Speaker>||:Вернись, или ты будешь сожалеть о прошлом.
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Вернись, или ты будешь разочарована в будущем.
M4A1(3)<Speaker>M4A1</Speaker>||:RO...RO, где ты?! Я тебя больше не слышу!
M4A1(3);RO635(5)<Speaker>RO635</Speaker><通讯框>||:Уровень интенсивности сигналов увеличился! Они полностью перегрузят нашу связь! +Но не волнуйся, M4A1! Я найду тебя снова и выведу тебя отсюда!
RO635(5)<Speaker>RO635</Speaker>||<黑屏1>:Не сдавайся! Не сдавайся Владыке и жди меня! +Жди меня... M4A1! Я найду тебя!
()||<BIN>10</BIN><黑屏2><BGM>BGM_Empty</BGM><SE1>Battlefield</SE1>:Тем временем.
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:Командир! Мы все еще сражаемся с войсками Судьи! Что у вас происходит?!
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE2>Gunfight</SE2>:...Их наступление действительно кажется ослабевает. Это ваша заслуга? +Большое спасибо, но мы все равно понесли огромные потери. Наша оборона может рухнуть в любой момент, а RO все еще пытается разбудить M4! +Только силы сестер Каркано и я остались на ногах, Командир! Пожалуйста, продолжайте атаку и попытайтесь вновь открыть брешь, чтобы мы могли прорваться!
 

