()||<BIN>22</BIN><BGM>BGM_Room</BGM>:...
NPC-Ange(0)<Speaker>Анже</Speaker><scan><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:Как ты узнал, что я здесь?
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Как только я вошла, Персика открыла тайный канал связи с тобой. Такие мелкие уловки на меня не действуют.
NPC-Ange(0)<Speaker>Анже</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Эх... старый лис. Но судя по тому, что ты сказал, всё хуже, чем я думала.
NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Да, именно поэтому я и приехал сюда.+Для Военных Третья мировая война закончилась насильно, и теперь правительство хочет создать коалиционное правление, объединившись с бывшими врагами. Это просто предательство по отношению к тем военным, которые пережили войну.+Поэтому их политическая цель — активировать Реликвию и втянуть мир в новую холодную войну.+Помнишь фразу «взаимное гарантированное уничтожение»? Фу, просто отвратительно.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Но какое отношение это имеет к Лико? Почему они его убили?!
NPC-Persica(3);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Система Пика была полностью заброшена после Женевской конвенции 1983 года, а система поддержки OGAS была засекречена как сверхсекретная. +Почему, по-твоему, Сангвис Ферри использует базовый протокол OGAS в качестве основы для управления? +Как, чёрт возьми, Лико заполучил столь секретную технологию? +Подумай об этом. Группа, связанная с Реликвиями, в которой вы оба участвовали.
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Да... 90WISH... Я уже догадалась.
NPC-Persica(3);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Так ты всё-таки не дура. +Они не стали преследовать тебя и Лико не только потому, что не осмеливались показывать свою силу передо мной, но и потому, что, скорее всего, использовали тот факт, что Лико поссорился с тобой и начал вести свои исследования в другом направлении. +Если я прав, то они тайно передали систему OGAS в руки Лико, и он понял, как её активировать... +Но, узнав правду, он каким-то образом заблокировал её, чтобы никто другой не мог её активировать. +Тогда... кому-то пришла в голову идея, что если Лико сумел найти способ, то и он может это сделать. +В этот момент Лико перестал представлять для них какую-либо ценность.
NPC-Ange(0)<Speaker>Анже</Speaker><scan><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:В то же время Военным нужен был повод, чтобы заставить Сангвис Ферри действовать хаотично, что дало бы им шанс вернуть систему OGAS... +Это привело к операции «Бабочка»... +Но тогда почему они не вернули систему поддержки OGAS в то время?
NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:А что, если бы они не смогли его вернуть, или если бы его захват в тот момент был бессмысленным?
NPC-Persica(3)<Speaker>Персика</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Кульминация исследований Лико... Элиза... была активирована только что...
NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:И военные, и 90WISH ждали, пока Ключ созреет. +Они не просто хотели активировать OGAS. Им нужно было, чтобы OGAS активировался сам. А кто лучше справится с этой задачей, чем самообучающийся ИИ?+Тогда у твоих руководителей не будет повода вмешиваться, Анже.
NPC-Ange(0)<Speaker>Анже</Speaker><scan><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:Эх... Я сейчас же свяжусь с шефом.
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Не стоит недооценивать свои лидерские качества, дорогая Анже. +Если я могу это придумать, то они тоже могут. Старый Миша из твоего КГБ не дал Зелинскому должность только потому, что тот был хорош в произвольном аресте демонстрантов и воров. +Просто политика иногда опаснее пуль. Им нужен повод и катализатор.
NPC-Ange(0)<Speaker>Анже</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Ты имеешь в виду...
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Лучший способ потушить большой нефтяной пожар — это устроить рядом ещё более мощный взрыв.
NPC-Ange(0)<Speaker>Анже</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:«Тушить огонь, не давая ему кислорода...» +Я знаю, но как это сделать? Шеф уже отказал мне в разрешении на бомбардировку, которую я предложила...
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Есть вещи, которые они не могут делать в своем положении.+Но такие безмозглые люди, как я, идеально подходят для роли триггеров.
NPC-Ange(0)<Speaker>Анже</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Учитывая твои связи, Шеф же не станет использовать тебя как инструмент, правда?
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Я действительно не могу сказать. +Они только что посадили в тюрьму босса ЧВК. Запереть вместе с ним производителя оружия — не такая уж большая дополнительная работа.
NPC-Ange(0)<Speaker>Анже</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Хватит ходить вокруг да около.
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Да, да, да, моя дорогая, я перейду к делу. +Я хочу сказать, что могу оказать тебе поддержку, потому что я патриот.
NPC-Ange(0)<Speaker>Анже</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Что ты можешь мне дать?
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Я могу устроить взрыв, который будет круче, чем ты можешь себе представить, но за это ты рискнёшь жизнью.
NPC-Ange(0)<Speaker>Анже</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Я уже однажды умирала.
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:И если ты не умрёшь, то будешь проклята как предательница до конца своих дней. Это гораздо тяжелее перенести, чем просто умереть, моя дорогая.
NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:...
NPC-Ange(0);NPC-Persica(3)<Speaker>Персика</Speaker>||<BIN>22</BIN>:Анже...
NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN>:Я согласна. +Я готова заплатить любую цену, чтобы остановить их.
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Супер. Тогда я придумаю, как тебе это отправить.
NPC-Ange(0)<Speaker>Анже</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Что это? +Что-то круче, чем авиаудар... что можно сбросить с самолёта... +Не говори...
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Да, именно так. +Как только ты это поймешь, можешь дать волю своему воображению.
NPC-Ange(0)<Speaker>Анже</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:...Если я это использую, то, скорее всего, меня назовут предательницей, и это будет лучший исход, на который я могу надеяться. +Ты это имел в виду, говоря о катализаторе и поводе?
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Идеально, правда? Картеру придётся несладко, пытаясь это объяснить.
NPC-Ange(0)<Speaker>Анже</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:Ты... гораздо более коварный, чем я себе представляла.
NPC-Ange(0);NPC-Havel(0)<Speaker>Хавьер/Speaker>||<BIN>22</BIN>:Когда молодая леди хвалит меня, у меня голова идет кругом. +Ах да, у меня есть ещё одна просьба. Мне очень интересно узнать, как OGAS был реактивирован, так что постарайся вернуть работу Лико. +Было бы жаль уничтожить её вместе с Военными.
NPC-Ange(0);NPC-Persica(3)<Speaker>Персика</Speaker>||<BIN>22</BIN>:Я бы также хотела, чтобы ты её вернула. Это была последняя работа Лико.
NPC-Ange(0)<Speaker>Анже</Speaker>||<BIN>22</BIN><黑屏1>:Я могу гарантировать, что они её не достанут+ А что касается её возвращения... лучше помолись за меня.

