()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
NPC-Jason(0)<Speaker>Командир</Speaker>||:Те, кого ты хочешь, чтобы мы уничтожили, действительно из «Белой фракции»? +Сначала я думал, что они разбрелись и спрятались, готовясь к массированному наступлению по всему городу. +Но по мере того, как мы обнаруживали всё больше их укрытий, я понял, что их действия не соответствуют этой логике.+Их расположение было крайне небрежным, и даже если бы они хотели действовать, им не хватало координации, и их легко было изолировать и уничтожить. +Когда мы начали наступление с помощью средств РЭБ, чтобы уничтожить проникшие вражеские подразделения, они не смогли оказать никакого эффективного сопротивления. Они даже не смогли определить, откуда именно атаковали «Куклы». +Но технологии и оборудование, которые они использовали, определенно принадлежат «Белой фракции». И это меня беспокоит больше всего. +Если это действительно были подразделения «Белой фракции», то они действовали слишком непрофессионально.
NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Наверное, это и всё, что они собой представляют.</color>
NPC-Jason(0)<Speaker>Командир</Speaker>||:По моему опыту, когда операция проходит слишком гладко, это не к добру.
NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Переоценивать противника — такая же плохая привычка, как и недооценивать его, Командир.</color>
NPC-Jason(0)<Speaker>Командир</Speaker>||:Если бы эта встреча не была такой значимой, мы бы здесь не стояли. Если бы встреча действительно была настолько важна, то «Белая фракция» не послала бы сюда кучу разного сброда. Из этого можно сделать только один вывод… настоящая угроза не среди этих врагов.
NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Я передам твое мнение моему клиенту.</color>
NPC-Jason(0)<Speaker>Командир</Speaker>||:Еще есть время обратиться за подкреплением в Госбезопасность.
NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Помощи со стороны страны не будет.</color>
NPC-Jason(0)<Speaker>Командир</Speaker>||:Что? Почему?! Ты что, собираешься просто стоять и смотреть, как проваливается мирный саммит?
NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Даже если это важная встреча, сама по себе она не несет никакого реального смысла.</color>+<color=#00CCFF>Настоящий смысл заключается в том, как изменятся мнения в ходе встречи.</color>+<color=#00CCFF>Нет ничего, чем нельзя было бы пожертвовать, и нет ничего, что нельзя было бы забыть.</color>+<color=#00CCFF>Ты умный, Командир. Иногда меньше знать помогает прожить чуть дольше.</color>
NPC-Jason(0)<Speaker>Командир</Speaker>||:...
NPC-Jason(0)<Speaker>K</Speaker>||<黑屏1>:<color=#00CCFF>На сегодня всё, иди отдохни. Впереди тебя ждут гораздо более сложные задачи.</color>
