()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker>Ясный голос</Speaker>||:Я очень разочарована в тебе. Ты вообще способна их найти?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Я... +Я смогу это сделать...
()<Speaker>Ясный голос</Speaker>||:Твоя психическая устойчивость подорвана. Ты не можешь трезво оценивать ситуацию.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<震屏>:Я же сказала, что смогу это сделать!
()<Speaker>Ясный голос</Speaker>||:Просто оставайся здесь и веди себя как следует. Я не могу позволить тебе так легкомысленно обращаться со своим телом. +Как только безопасность этого тела будет обеспечена, я верну тебе управление.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Почему я должна тебе верить?!
()<Speaker>Ясный голос</Speaker>||<黑屏1>:У тебя нет другого выбора.
M4A1Mod(0)<Speaker>M4A1?</Speaker>||<回忆><黑屏2><BIN>6</BIN><Night><BGM>BGM_Empty</BGM>:Взлом завершен.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Sneak</BGM>:Почему так долго?
M4A1Mod(0)<Speaker>M4A1?</Speaker>;AR15Mod(0)||:Если тебе кажется, что я медлительна, давай, попробуй сама. +Ой, извини, я забыла, что у тебя все порты заблокированы, так что тебе ничего не остаётся, кроме как сидеть и ждать.
M4A1Mod(0);AR15Mod(4)<Speaker>ST AR-15</Speaker>||:Ск... +Ну и как дела? +Только не говори, что вернулась с пустыми руками.
M4A1Mod(0)<Speaker>M4A1?</Speaker>;AR15Mod(4)||:Поиски, кстати, оказались довольно плодотворными. +Грифон отбился от Военных и ушел из города. А тем временем из-за взрыва грязной бомбы в системе командования Военных царит полный хаос. +Их бронетехника скапливается в городе. Похоже, они что-то ищут.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Грифон прорвался сквозь блокаду?
M4A1Mod(0)<Speaker>M4A1?</Speaker>;AR15Mod(0)||:Судя по журналам связи, это действительно так.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:От Командира я ничего другого и не ожидала. +Тогда, наверное, Военные уже окружили Анже.
M4A1Mod(0)<Speaker>M4A1?</Speaker>;AR15Mod(0)||:Это вполне возможно. +Как ты думаешь, она ещё жива?
M4A1Mod(0);AR15Mod(3)<Speaker>ST AR-15</Speaker>||:Обычные люди уже давно бы заразились или даже умерли, но Анже так легко не сдастся. +Даже если бы она превратилась в ЭЛИД, эта женщина не дала бы врагам ни минуты покоя.
M4A1Mod(0)<Speaker>M4A1?</Speaker>;AR15Mod(3)||:Понятно.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Так что же нам делать дальше? Встретиться с Грифоном? Или спасти Анже?
M4A1Mod(0)<Speaker>M4A1?</Speaker>;AR15Mod(0)||:Нам нужно дождаться, пока пройдет ночь. Проводить операции, пока идёт снег, слишком опасно.
M4A1Mod(0);AR15Mod(3)<Speaker>ST AR-15</Speaker>||:Но у нас заканчивается...
M4A1Mod(0)<Speaker>M4A1?</Speaker>;AR15Mod(3)||:Если хочешь, чтобы новые враги продырявили тебя насквозь, пожалуйста.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Тц...
AR15Mod(5)<Speaker>ST AR-15</Speaker>||:Новые враги? Что это значит?
M4A1Mod(0)<Speaker>M4A1?</Speaker>||:Я смутно ощущаю некую схожесть с кем-то вроде Лунасии.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Что ты имеешь в виду...?
()<speaker></speaker>||<BGM>BGM_Empty</BGM>:Бах! Бах!
M4A1Mod(0)<Speaker>M4A1?</Speaker>||<BGM>10106</BGM>:Это доносилось из подвала?
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Есть еще солдаты?
M4A1Mod(0)<Speaker>M4A1?</Speaker>||:...!
()<speaker></speaker>||:Словно в ответ на слова M4A1, из дома донёсся низкий, звериный рык, а за ним — яростный удар по двери. +ST AR-15 подняла оружие и прицелилась. +Дверь распахнулась от удара, и на пороге появилась маленькая фигурка. +Когда-то белое платье теперь было испачкано кровавыми пятнами, и даже растрёпанные волосы не могли скрыть свирепого рычания, совсем не соответствующего «её» юному возрасту.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Маленькая девочка?!
M4A1Mod(0)<Speaker>M4A1?</Speaker>||:КОТОРАЯ БЫЛА когда-то маленькой девочкой.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Что... нам делать? +Может, уйдем?
()<speaker></speaker>||:M4A1 ничего не сказала. Она просто продолжала пристально смотреть на «маленькую девочку».
()<speaker></speaker>||<SE1>Runstep</SE1>:Наконец-то избавившись от оков, «она» снова завыла и бросилась на M4A1.
()<speaker></speaker>||<SE1>AVG_rifle_finalshot_h</SE1>:Бах. +ST AR-15 попала мутировавшей девчонке прямо в середину лба. +«Она» рухнула в снег, уже не дыша.
M4A1Mod(0)<Speaker>M4A1?</Speaker>||<BGM>BGM_Empty</BGM>:Ты приняла правильное решение.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Мне не нужно, чтобы ты мне это говорила.
M4A1Mod(0)<Speaker>M4A1?</Speaker>||<BGM>GF_Memorial</BGM>:Бедняга.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Может, она была гражданской, которая пряталась где-то поблизости? Возможно, её родители погибли, иначе они бы не оставили её здесь одну.
()<speaker></speaker>||:M4A1 подошла и осторожно закрыла глаза девочке.
M4A1Mod(0)<Speaker>M4A1?</Speaker>||:Она умерла от мутации.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:...Это не была её вина.
M4A1Mod(0)<Speaker>M4A1?</Speaker>||<黑点1>:Я знаю. +Иди-ка, помоги мне.
()<speaker></speaker>||<黑点2><BIN>6</BIN><Night><回忆>:Через несколько минут. +M4A1 опустилась на колени рядом со свежезасыпанной могилой. +ST AR-15 положила на землю грязного плюшевого мишку и букет полевых цветов.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Это должно помочь.
M4A1Mod(0)<Speaker>M4A1?</Speaker>||:... +Жизнь была унесена… вот так просто.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Вот в каком мире мы живем. +Что бы мы ни хотели защитить, в итоге всё равно так и будет.
M4A1Mod(0)<Speaker>M4A1?</Speaker>||:Везде ли так же, где бы мы ни были? Будут ли сильные всегда господствовать в мире, пока слабых так беззаботно истребляют?
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Вот почему мы сами должны стать сильнее — чтобы не оказаться теми, кого будут убивать.
M4A1Mod(0)<Speaker>M4A1?</Speaker>||:...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Я и не знала, что ты тоже можешь быть такой сентиментальной.
M4A1Mod(0)<Speaker>M4A1?</Speaker>||:Я не так уж отличаюсь от тебя.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:... +Может, это и так, но я всё равно тебя не одобряю. +Пока что я буду с тобой сотрудничать, но только для того, чтобы обеспечить безопасность M4. +Мне плевать, что ты там затеяла. Если ты не вернёшь контроль над телом M4 даже после того, как мы выберемся из опасности, клянусь, я тебя убью.
M4A1Mod(0)<Speaker>M4A1?</Speaker>||<黑屏1>:Конечно, я понимаю.
()<Speaker>Командир</Speaker>||<关闭蒙版><黑屏2><BIN>202</BIN><BGM>BGM_Empty</BGM>:Гражданский... +Я не ожидала, что в таких условиях на месте событий останутся какие-то гражданские...
NytoIsomer(4)<Speaker>Данделион</Speaker>||<BGM>m_avg_casual</BGM>:Военные действия проходили рядом с заброшенным городом. Многие беженцы жили в одиночестве, скрываясь в Желтой зоне.
()<Speaker>Командир</Speaker>||:Наша цель была — защитить мирных жителей... Не могу поверить, что в итоге мы втянули в это столько невинных людей.
NytoIsomer(4)<Speaker>Данделион</Speaker>||:Пока существуют конфликты, мы никогда не познаем настоящего мира. +Жизнь всегда была тяжелой. Только те, кто выживает, имеют право судить о том, что правильно, а что нет.
()<Speaker>Командир</Speaker>||:Убить такую молодую ЭЛИД должно быть было просто ужасно.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Если бы я этого не сделала, зараженные пострадали бы ещё больше.
()<Speaker>Командир</Speaker>||:Я испытал на себе, каково это — подвергнуться воздействию радиации Коллапса. Такое ощущение, будто кости пронзают кожу. Все тело было в агонии — словно его разрывали на части. +Тем, у кого инфекция протекает в ещё более острой форме, наверное, приходится ещё хуже. Единственное избавление для них — это смерть.
NytoIsomer(4)<Speaker>Данделион</Speaker>||:Я восхищаюсь тем, что ты пережил это испытание. +Наверняка ты не хочешь снова испытывать такую боль.
()<Speaker>Командир</Speaker>||:...Только если я смогу это предотвратить.
NytoIsomer(4)<Speaker>Данделион</Speaker>||<黑屏1>:Тогда давай продолжим. Мы сможем предотвратить повторение той же трагедии, только если завершим загрузку и найдём информацию, нужную для отражения атаки Военных. +У нас не так много времени.
