()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
AN94(2);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:<color=#00CCFF>О чём этот больная несет?</color>
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:<color=#00CCFF>Без понятия... Но она, похоже, нас не замечает...</color>
AN94(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:<color=#00CCFF>Согласна.</color> +<color=#00CCFF>Давай обойдём её через другую комнату. А потом найдём выход и уйдём.</color>
AN94(0)<Speaker>AN-94</Speaker>;AR15Mod(0)||:<color=#00CCFF>Поняла. С такого расстояния она нас не должна заметить.</color>
AN94(0);NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||:<color=#00CCFF>Я все слышу, вы понимаете это?</color>
AR15Mod(5)<Speaker>ST AR-15</Speaker>;NPC-Mercurows(0)||:?!
AR15Mod(5);AN94(2)<Speaker>AN-94</Speaker>||:...Она опять пытается установить соединение на Уровне II?
NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>;AN94(2)||:Просто сдайтесь, вам не уйти. Наберитесь храбрости, девочки! +Нам предстоит веселая битва, которая развернется прямо в этом театре. +Пусть звук горна будет все громче и громче!
NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>;AN94(2)||<SE1>Gunkill</SE1>:...Ой, ты такая же скучная, как тот человеческий офицер, AR-15.
NPC-Mercurows(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Извини, но я не хочу с тобой разыгрывать этот фарс. +<color=#A9A9A9>Её не задело... Как это вообще произошло? Как будто она предвидела мою атаку...</color>
NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>;AR15Mod(0)||:Сбиты с толку? Должно быть, это ужасно запутанно! Но именно благодаря этой искаженной личности тебя легче всего понять~ +Я открою тебе маленький секрет.  +«Не все мы уснём смертным сном, но все изменимся — в мгновение, в миг один, при звуке трубы последней.»
NPC-Mercurows(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:О чём ты, чёрт возьми, говоришь...?
NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>;AR15Mod(0)||:«Труба возгласит, и мёртвые восстанут нетленными.» +«Ибо тленному сему подобает облечься в нетление, и смертному сему — в бессмертие.» +Пошли, пора! Протруби в эту трубу войны и подними занавес этой славной эпопеи!
AN94(2)<Speaker>AN-94</Speaker>;AR15Mod(0)||:... +AR-15! Появилось огромное количество сигналов противника!
AN94(2);AR15Mod(5)<Speaker>ST AR-15</Speaker><Shake>||:Что? Я ничего не улавливаю!
AN94(2)<Speaker>AN-94</Speaker>;AR15Mod(5)||:Здесь полный хаос! Придётся полагаться только на то, что видишь!
AN94(2);NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||:Смотрите — поверженные теперь вернулись, умершие теперь воскреснут. +Друзья, давайте все вместе сбросим оковы разложения! Давайте сорвём ошейники с наших шей! +Разбейте их на куски, как керамическую вазу!
AR15Mod(4)<Speaker>ST AR-15</Speaker>;NPC-Mercurows(0)||<黑屏1>:Система заблокирована, а у нас заканчиваются боеприпасы. +Мы действительно... оказались в безвыходном положении...
